Country,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Czech Republic,CZE,0.94,0.12,11.00,77.83,71.43,87.68,0.95,0.23,8.00,80.48,66.19,94.29,0.89,0.22,8.00,78.37,71.63,86.06,1.25,0.20,9.00,86.54,76.44,92.31,1.05,0.14,12.00,81.73,77.40,87.02,0.51,0.14,11.00,68.75,62.50,75.96
Germany,DEU,1.34,0.14,10.00,95.07,84.24,97.04,0.58,0.23,8.00,66.67,54.76,80.48,1.59,0.23,7.00,93.27,85.58,99.52,1.72,0.22,8.00,96.15,89.42,99.52,1.62,0.16,10.00,92.31,87.98,96.63,1.90,0.16,9.00,95.19,91.83,98.56
Djibouti,DJI,-1.41,0.13,8.00,10.84,5.42,16.26,-0.34,0.25,4.00,34.76,19.52,50.00,-0.71,0.22,7.00,24.04,13.46,38.94,-0.77,0.19,7.00,20.67,11.54,34.62,-0.91,0.16,9.00,18.27,9.13,27.40,-0.86,0.18,8.00,20.67,12.02,31.25
Dominica,DMA,0.90,0.21,2.00,74.88,65.02,88.67,1.07,0.28,4.00,87.14,67.62,97.62,-0.26,0.35,2.00,40.87,17.31,64.90,0.10,0.25,4.00,59.13,40.38,70.19,0.69,0.26,3.00,75.00,61.06,83.65,0.53,0.24,3.00,69.71,60.58,80.29
Denmark,DNK,1.58,0.14,8.00,98.52,95.07,100.00,1.01,0.23,8.00,83.81,67.62,96.19,1.94,0.23,7.00,99.04,92.31,100.00,1.57,0.22,8.00,92.31,83.65,99.04,1.90,0.16,10.00,98.08,92.31,100.00,2.11,0.16,9.00,97.60,94.71,100.00
Dominican Republic,DOM,0.20,0.12,13.00,53.69,44.83,61.08,0.02,0.23,7.00,48.57,32.38,59.05,-0.36,0.21,10.00,38.94,24.52,51.44,-0.05,0.18,10.00,52.40,38.94,62.98,-0.35,0.15,14.00,41.83,28.37,50.48,-0.76,0.13,14.00,25.00,16.83,32.69
Algeria,DZA,-1.04,0.12,11.00,20.20,14.29,23.65,-1.00,0.24,6.00,13.81,9.52,23.33,-0.52,0.20,10.00,33.65,17.31,44.23,-1.30,0.20,8.00,7.69,4.33,12.98,-0.82,0.16,12.00,20.67,12.50,31.25,-0.62,0.17,10.00,29.33,18.75,41.35
Ecuador,ECU,0.06,0.12,13.00,48.77,39.90,55.67,-0.19,0.23,7.00,40.95,23.81,53.81,-0.40,0.21,10.00,37.02,23.56,50.00,-0.82,0.18,10.00,19.71,11.54,33.17,-0.58,0.15,14.00,29.81,20.19,42.31,-0.50,0.13,13.00,34.62,25.96,45.19
"Egypt, Arab Rep.",EGY,-1.43,0.12,13.00,8.37,5.42,14.29,-1.07,0.23,7.00,12.86,8.57,21.43,-0.42,0.19,12.00,36.54,23.56,47.60,-0.83,0.16,11.00,18.75,11.54,30.29,-0.42,0.14,15.00,37.98,27.40,47.12,-0.67,0.14,13.00,27.88,18.75,36.54
Eritrea,ERI,-2.19,0.13,9.00,0.49,0.00,0.99,-0.72,0.25,5.00,20.48,11.90,34.76,-1.76,0.21,8.00,2.40,0.96,7.21,-2.27,0.18,8.00,1.44,0.00,2.40,-1.60,0.16,10.00,5.29,1.44,6.73,-1.39,0.17,9.00,7.21,1.92,12.50
Spain,ESP,1.09,0.14,10.00,82.76,73.89,92.61,0.32,0.23,8.00,59.05,46.19,69.05,1.00,0.23,7.00,79.81,73.08,87.98,1.05,0.22,8.00,81.73,74.04,90.38,0.98,0.16,10.00,80.29,75.00,86.06,0.65,0.16,9.00,73.56,66.35,79.81
Estonia,EST,1.21,0.13,10.00,88.67,80.30,95.57,0.64,0.23,8.00,68.10,55.71,84.29,1.17,0.22,8.00,85.58,75.48,92.31,1.59,0.20,9.00,92.79,86.54,99.04,1.28,0.14,12.00,87.02,81.25,89.90,1.54,0.14,11.00,90.38,88.94,93.75
Ethiopia,ETH,-1.05,0.12,12.00,19.70,14.29,22.66,-1.28,0.23,7.00,10.95,6.67,15.71,-0.63,0.19,11.00,28.37,15.38,39.42,-0.89,0.16,11.00,16.83,9.62,28.85,-0.47,0.14,14.00,34.62,25.00,46.15,-0.41,0.14,13.00,39.90,28.37,50.00
Finland,FIN,1.59,0.14,9.00,99.01,95.07,100.00,0.91,0.23,8.00,79.05,65.71,93.81,1.93,0.23,7.00,98.56,92.31,100.00,1.85,0.22,8.00,97.60,91.35,100.00,2.02,0.16,10.00,100.00,94.23,100.00,2.15,0.16,9.00,99.04,95.19,100.00
Fiji,FJI,0.09,0.16,5.00,50.74,39.90,59.11,0.87,0.29,3.00,77.62,59.05,94.76,0.20,0.35,2.00,61.06,38.46,75.00,-0.22,0.29,3.00,45.67,24.52,63.46,-0.03,0.30,4.00,52.88,32.21,66.83,0.56,0.28,3.00,70.19,59.62,81.25
France,FRA,1.14,0.14,10.00,87.68,75.37,95.07,0.31,0.23,8.00,58.57,46.19,68.57,1.38,0.23,7.00,89.42,79.81,96.15,1.44,0.22,8.00,90.87,82.21,96.63,1.41,0.16,10.00,89.42,85.10,92.31,1.30,0.16,9.00,88.94,82.69,91.35
"Micronesia, Fed. Sts.",FSM,1.09,0.23,1.00,83.74,71.43,96.06,1.00,0.29,3.00,83.33,63.81,96.67,-0.19,0.35,3.00,43.27,21.63,66.35,-0.96,0.29,4.00,13.94,6.25,34.13,0.02,0.31,4.00,54.33,34.13,69.71,0.75,0.32,3.00,76.44,60.58,88.46
Gabon,GAB,-1.03,0.12,12.00,20.69,14.29,24.14,-0.18,0.24,6.00,41.43,23.81,54.76,-0.90,0.19,12.00,16.35,10.10,30.77,-0.96,0.17,10.00,14.42,8.65,25.96,-0.73,0.15,14.00,24.52,16.35,32.69,-0.94,0.15,14.00,17.79,11.06,26.92
United Kingdom,GBR,1.26,0.14,10.00,90.64,81.77,96.06,0.52,0.23,8.00,63.81,53.81,78.10,1.44,0.23,7.00,90.38,81.25,96.63,1.63,0.22,8.00,93.75,86.54,99.52,1.60,0.16,10.00,91.35,87.98,96.15,1.77,0.16,9.00,93.75,89.90,96.63
Georgia,GEO,0.20,0.13,10.00,53.20,44.33,61.08,-0.45,0.24,6.00,29.05,16.67,46.19,0.83,0.24,7.00,76.92,68.75,85.58,1.12,0.19,8.00,82.69,74.52,90.38,0.31,0.14,11.00,62.02,55.77,70.19,0.67,0.15,10.00,74.04,66.83,80.29
Ghana,GHA,0.58,0.12,14.00,65.52,61.08,72.91,0.10,0.23,7.00,50.48,35.71,61.90,-0.21,0.19,12.00,41.83,33.17,56.25,-0.11,0.16,11.00,50.48,36.54,61.54,0.05,0.14,15.00,55.29,47.12,61.06,-0.08,0.14,15.00,52.40,44.23,60.58
Guinea,GIN,-0.75,0.12,12.00,26.11,21.67,31.03,-0.83,0.24,6.00,17.62,11.43,29.05,-0.78,0.19,12.00,21.15,13.46,35.10,-0.77,0.17,10.00,21.15,11.54,34.13,-1.21,0.15,14.00,9.13,5.29,16.83,-0.90,0.15,14.00,18.27,12.02,27.88
"Gambia, The",GMB,-0.22,0.13,11.00,38.42,33.99,44.33,0.11,0.25,5.00,51.43,35.71,62.38,-0.63,0.20,10.00,29.33,15.38,39.42,-0.66,0.18,9.00,26.92,14.42,36.54,-0.37,0.16,12.00,41.35,27.88,50.48,-0.29,0.15,12.00,45.19,32.69,54.81
Guinea-Bissau,GNB,-0.46,0.13,9.00,33.00,28.08,36.95,-0.56,0.28,4.00,24.29,13.33,43.33,-1.51,0.23,7.00,6.25,1.92,12.02,-1.23,0.19,7.00,9.13,4.33,15.38,-1.26,0.22,9.00,7.69,4.81,18.27,-1.45,0.18,8.00,5.29,0.00,12.02
Equatorial Guinea,GNQ,-1.86,0.13,8.00,2.46,0.99,4.93,-0.19,0.25,4.00,40.48,23.33,54.76,-1.34,0.22,6.00,9.13,3.37,15.38,-1.52,0.19,6.00,4.81,2.88,9.13,-1.42,0.16,8.00,6.25,4.33,9.62,-1.72,0.20,7.00,0.48,0.00,6.73
Greece,GRC,0.94,0.14,9.00,77.34,71.43,87.68,0.29,0.23,8.00,57.14,45.71,68.57,0.41,0.23,7.00,66.83,53.37,75.00,0.53,0.22,8.00,70.67,62.02,75.96,0.20,0.16,10.00,60.58,50.96,66.83,-0.01,0.16,9.00,56.25,45.67,62.02
Grenada,GRD,0.71,0.20,3.00,71.43,59.61,81.77,0.96,0.28,4.00,81.90,61.90,96.19,-0.14,0.34,3.00,46.63,24.52,67.31,-0.31,0.26,4.00,40.38,22.12,59.62,0.18,0.26,4.00,59.62,45.67,73.08,0.34,0.21,4.00,64.90,57.21,74.52
Greenland,GRL,1.29,0.27,1.00,92.61,73.89,100.00,1.90,0.35,2.00,100.00,94.29,100.00,0.81,0.43,1.00,75.48,57.21,91.83,1.36,0.47,1.00,89.42,71.63,99.52,1.75,0.23,1.00,94.23,88.46,100.00,1.04,0.37,1.00,82.21,66.83,91.83
Guatemala,GTM,-0.31,0.12,13.00,35.47,31.03,40.89,-0.55,0.23,7.00,25.24,14.29,41.43,-0.68,0.21,10.00,26.44,14.90,39.42,-0.22,0.18,10.00,44.23,33.17,57.69,-1.05,0.15,14.00,13.94,6.73,20.67,-0.90,0.13,14.00,18.75,12.50,26.92
